artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre
Abby Cates,1,58.0,Medium,Low,Low,Vocal,100.0,3.01,0.0,singer-songwriter
Abdon Mech,1,36.0,Medium,Medium,Low,Vocal,0.0,4.28,100.0,singer-songwriter
Abdul Hannan,4,57.25,Medium,Low,Low,Vocal,0.0,3.0275,50.0,indie-pop
Abdullah Siddiqui,2,48.5,Medium,Medium,Low,Vocal,0.0,4.865,100.0,indie-pop
Abel Korzeniowski,9,49.22222222222222,Low,Low,Low,Instrumental,0.0,3.07,11.11111111111111,ambient
Abel Pintos,2,44.5,Medium,Medium,Low,Vocal,0.0,3.525,0.0,folk
Abelation,1,40.0,Medium,Medium,Low,Mixed,0.0,3.89,100.0,dubstep
Aberdeen,1,19.0,Medium,High,Low,Instrumental,0.0,1.16,0.0,club
Aberola,1,26.0,Medium,Low,Low,Vocal,0.0,3.61,0.0,acoustic
Abfahrt Hinwil,3,11.0,Low,High,Low,Instrumental,0.0,3.48,0.0,idm
Abhijeet,6,60.0,High,Medium,Low,Vocal,0.0,5.489999999999999,33.33333333333333,pop-film
Abhilasha Sinha,2,43.5,Low,Low,Low,Vocal,0.0,3.6899999999999995,0.0,indian
Abin Fang,2,59.0,Medium,Low,Low,Vocal,0.0,4.42,0.0,mandopop
Aborted,8,15.0,Low,High,Low,Instrumental,0.0,3.79,0.0,grindcore
Above & Beyond,49,34.02040816326531,Medium,High,Low,Vocal,0.0,4.350408163265306,75.51020408163265,trance
Abraham Mateo,6,58.0,Medium,High,Low,Vocal,0.0,3.643333333333333,83.33333333333334,spanish
Abram,1,26.0,High,Medium,Low,Vocal,0.0,3.43,100.0,spanish
Absofacto,1,68.0,Medium,Medium,Low,Vocal,0.0,3.74,0.0,indie-pop
Absolute Valentine,8,41.125,Medium,High,Low,Instrumental,0.0,3.3325,25.0,club
Abstract Void,1,17.0,Low,High,Low,Instrumental,0.0,6.0,0.0,black-metal
Absu,1,17.0,Low,High,Low,Instrumental,0.0,4.18,0.0,black-metal
Abyss & Judge,1,20.0,Medium,High,Low,Instrumental,0.0,5.43,0.0,hardstyle
Academy of St. Martin in the Fields,1,0.0,Medium,Low,Low,Vocal,0.0,2.92,100.0,british
Accept,29,35.724137931034484,Medium,High,Low,Vocal,13.793103448275861,5.0986206896551725,0.0,heavy-metal
Access to Arasaka,1,8.0,Medium,High,Moderate,Instrumental,0.0,3.46,0.0,idm
Ace Aura,2,41.0,Medium,High,Low,Vocal,0.0,3.15,100.0,dub
Ace Ventura,8,28.5,Medium,High,Low,Instrumental,0.0,7.885,100.0,trance
Acerina Y Su Danzonera,4,37.5,Medium,Medium,Low,Mixed,0.0,2.9,0.0,rock-n-roll
AcesToAces,1,62.0,Medium,Medium,Moderate,Mixed,0.0,2.25,0.0,funk
Achillea,2,44.5,Medium,Low,Low,Mixed,0.0,2.81,0.0,new-age
Achint,4,40.0,Medium,Medium,Low,Vocal,0.0,2.4875,25.0,folk
Achu,2,58.0,Medium,Medium,Low,Vocal,0.0,3.9749999999999996,50.0,pop-film
Aché Cubano,1,30.0,High,Medium,Low,Vocal,0.0,4.84,0.0,salsa
Acid Arab,2,39.5,Medium,Medium,Low,Vocal,0.0,5.395,100.0,groove
Acid Ghost,8,50.375,Medium,Medium,Low,Instrumental,0.0,3.145,0.0,garage
Acid Horse,1,22.0,Medium,High,Low,Instrumental,0.0,5.92,0.0,industrial
Acid Pauli,4,38.0,High,Medium,Low,Instrumental,0.0,6.845,25.0,minimal-techno
Acil Servis,1,38.0,Medium,Medium,Low,Vocal,0.0,5.33,0.0,turkish
Acnatro,1,31.0,Medium,Medium,Low,Mixed,0.0,3.28,100.0,deep-house
Acoustic Guitar Collective,2,42.0,Medium,Low,Low,Instrumental,0.0,3.04,0.0,acoustic
Acoustic Syndicate,1,20.0,Medium,Medium,Low,Vocal,0.0,4.94,0.0,bluegrass
AcousticTrench,4,36.0,Medium,Low,Low,Instrumental,0.0,2.5725,0.0,guitar
Acranius,1,21.0,Low,High,Low,Mixed,100.0,3.63,0.0,death-metal
Acti,1,20.0,Medium,High,Low,Instrumental,0.0,6.12,100.0,hardstyle
Activator,2,28.5,Medium,High,Low,Vocal,50.0,5.465,0.0,hardstyle
Actress,3,50.0,Low,Low,Low,Instrumental,0.0,2.316666666666667,0.0,club
