artist_name,listeners,playcount,similar
Adema,869992,14995164,Spineshank;Flaw;Ill Niño
Aden x Asme,14901,711699,Asme;Dree Low;Macky
Adhemar De Campos,13006,145782,Paulo César Baruk;André Valadão;David Quinlan
Adhvik,921,5647,Vasuki Vaibhav;All OK;Sanjith Hegde
Aditya A,38407,510370,Zaeden;Aditya Rikhari;Suzonn
Aditya Rikhari,41146,1332928,Vismay Patel;Zaeden;Dream Note
Aditya Yadav,2974,21040,Stebin Ben;Prashant Katheriya;siddharth slathia
Adlomusic,800,22719,
Adnan Sami,61020,499689,Sonu Nigam;KK;Shankar Mahadevan
Ado,472537,42548053,Phantom Siita;ZUTOMAYO;YOASOBI
Adolescent's Orquesta,219633,3805411,Eddie Santiago;Frankie Ruiz;Jerry Rivera
Adolescents,340257,5663013,Circle Jerks;T.S.O.L.;Agent Orange
Adolphe Adam,116265,642918,Evergreen Symphony Orchestra;Riccardo Drigo;Victor Fedotov
Adolphson & Falk,67295,608817,Linnea Henriksson;Jonathan Johansson;Magnus Uggla
Adon,45910,291252,Hecatoncheir;Kvaen;Vredehammer
Adoniran Barbosa,343100,5642946,Cartola;Zé Keti;Nelson Cavaquinho
Adonis,96732,541890,Marshall Jefferson;Mr. Fingers;Mr. Lee
Adoo,9477,50567,Rhymes & Riddim;Dani M;Stor
Ados,7024,175949,Şanışer;Hayki;Allame
Adrenalize,53159,715673,Demi Kanon;Refuzion;Atmozfears
Adrian Barba,28893,417313,Ricardo Silva;Miura Jam;César Franco
Adriana Arydes,7255,90306,Walmir Alencar;Flavio Vitor Jr.;Cantos do Hinário Litúrgico da CNBB
Adriana Calcanhotto,416128,11249923,Marisa Monte;Marina Lima;Zélia Duncan
Adriana Partimpim,416128,11249923,Marisa Monte;Marina Lima;Zélia Duncan
Adriana Varela,51152,387853,Sexteto Mayor;Mariano Mores;La Chicana
Adriatique,123208,1095795,Colyn;ARTBAT;Fideles
Adryana E A Rapaziada,16758,133140,Karametade;Só Pra Contrariar;Os Travessos
Advait,7693,83870,Punit Singh;Piyush Bhisekar;Bharg
Advaita,7152,121177,Swarathma;Motherjane;Blackstratblues
Adventure Club,313439,4255632,Seven Lions;ARMNHMR;Flux Pavilion
Adventurer,31328,492011,AnimalJam;I Met A Yeti;Properties of Nature
Adzmilli,8565,90293,Kay9ine;K1;ArtistRD
Aeoliah,72349,847525,Deuter;Karunesh;Llewellyn
Aerosmith,4111128,102772002,Guns N' Roses;Van Halen;Alice Cooper
Aesma Daeva,90693,1259126,The Sins of Thy Beloved;Tristania;Sirenia
Aesthetic Perfection,115361,4641198,Faderhead;Grendel;Solar Fake
Aestivum,25376,72887,Almeda;Albin Svensson;Rebecca Kruse
Aether,152970,2638271,Vesky;Emancipator;Ambyion
Aevum,3295,35586,Ravenword;Souls of Diotima;Master Dy
Aexcit,30217,158971,Toby Rose;Kid On The Block;Namic
Afgan,65284,1300488,Tiara Andini;Maudy Ayunda;Yovie & Nuno
Afgrund,14123,469647,The Arson Project;Sayyadina;Infanticide
Africania,2006,11497,Afoxé Oyá Alaxé;Guga Stroeter;Jorge Alabe
Afro B,110588,829448,Maleek Berry;Mr Eazi;Davido
Afro Nursery Rhymes,29,69,Jean-Emile Biayenda;Pequenos Atos;Aline Romeiro
Afrocidade,20813,272512,Nêssa;Larissa Luz;Livia Nery
Afrojack,851141,9125286,Hardwell;Alesso;Martin Garrix
Afroman,849667,6934441,D12;Yung Gravy;Geto Boys
After Forever,337498,12790200,ReVamp;Epica;Xandria
After The Burial,224477,9536493,Born of Osiris;Veil of Maya;The Acacia Strain
AfterU,8368,27530,arude;Layer J;Lokovski
Aftercoma,1579,24725,Burgerkill;Beside;Nectura
Against Me!,757030,41101908,"Laura Jane Grace;She/Her/Hers;Defiance, Ohio"
Against The Current,244147,10884131,Chrissy Costanza;We Are the In Crowd;Yours Truly
Agalloch,414413,28183917,Alcest;Wolves in the Throne Room;Empyrium
Agam,6782,100331,Mahesh Raghvan;Motherjane;Anand Bhaskar Collective
Agathocles,46946,2096769,Archagathus;Haggus;Unholy Grave
Age Of Love,73614,338525,UMEK;Binary Finary;BBE
Agents Of Time,51588,395221,Kevin De Vries;Mossano;ARTBAT
Agepê,72432,598880,Martinho Da Vila;Benito Di Paula;Almir Guineto
Ageu Soares,192,1390,Cleverson Silva;Jéssica Augusto;Sync 3
Agnee,8874,87656,Naalayak;SWASTIK THE BAND;Kaash
Agnes Chiang,247,1325,Annabelle Lui;Paula Tsui;Winnie Lau
